id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20191027_161552_1027,0,0,411525,4313871,2019-10-27T16:15:52.240615Z,2786478
20191101_161653_0f28,0,0.01,415152,4298538,2019-11-01T16:16:53.192324Z,2801489
20191101_163215_71_1058,0,0.01,439167,4272033,2019-11-01T16:32:15.717172Z,2801531
20191101_163442_05_106a,0,0.01,441099,4277652,2019-11-01T16:34:42.059333Z,2801617
20191101_163444_12_106a,0,0.04,438060,4292010,2019-11-01T16:34:44.126601Z,2801617
20170920_165004_0f4f,0,0,294327,4643919,2017-09-20T16:50:04.33514Z,771922
20170920_165122_100d,0,0,272478,4620627,2017-09-20T16:51:22.356598Z,770575
20170926_160625_1025,0,0.04,282051,4621842,2017-09-26T16:06:25.030421Z,789594
20170926_160626_1025,0,0.02,280203,4614696,2017-09-26T16:06:26.08214Z,789594
20170926_164837_0f2b,0,0.03,318135,4637301,2017-09-26T16:48:37.619754Z,787722
20170928_164847_104c,0,0,315054,4621875,2017-09-28T16:48:47.808294Z,794574
20170929_160307_0f38,0,0,337812,4637541,2017-09-29T16:03:07.59066Z,797514
20170929_164745_0f2d,0,0,315993,4615272,2017-09-29T16:47:45.186529Z,798432
20170929_165051_0f2b,0,0,264339,4621356,2017-09-29T16:50:51.388717Z,797239
20171001_164953_104c,0,0,270249,4617591,2017-10-01T16:49:53.040796Z,803794
20171001_164956_1_104c,0,0.19,265062,4645410,2017-10-01T16:49:56.986736Z,803794
20171002_220016_0c45,0.01,0.07,283587,4651452,2017-10-02T22:00:16.401082Z,807224
20171004_160435_1032,0,0.08,289563,4647636,2017-10-04T16:04:35.190185Z,812237
20171005_164807_1052,0,0.13,298401,4637325,2017-10-05T16:48:07.916108Z,813735
20171016_160341_1004,0,0,303813,4644765,2017-10-16T16:03:41.327106Z,842257
20171017_160224_0f38,0,0,329895,4642362,2017-10-17T16:02:24.638469Z,845094
20171017_160342_1033,0,0,302052,4637532,2017-10-17T16:03:42.287714Z,844607
20171017_160346_1033,0,0,294750,4607067,2017-10-17T16:03:46.445506Z,844607
20171017_160450_0f42,0,0,288123,4647957,2017-10-17T16:04:50.589745Z,844576
20171017_164729_0f2a,0,0,284703,4609470,2017-10-17T16:47:29.498122Z,844545
20171018_160409_0f35,0,0,319470,4649859,2017-10-18T16:04:09.354569Z,847591
20171018_160414_0f35,0,0,310476,4613862,2017-10-18T16:04:14.551639Z,847591
20171018_160630_1003,0,0,270561,4632198,2017-10-18T16:06:30.17923Z,847226
20171019_160228_1024,0,0,334074,4625808,2017-10-19T16:02:28.926641Z,849569
20171019_160504_103e,0,0,305913,4643112,2017-10-19T16:05:04.866059Z,850085
20171019_164504_0f47,0,0,331725,4651893,2017-10-19T16:45:04.327774Z,849986
20171019_164655_0f53,0,0,296124,4630266,2017-10-19T16:46:55.048581Z,849593
20171020_164550_1051,0,0,312135,4622640,2017-10-20T16:45:50.165992Z,852514
20171020_164552_1051,0,0,309588,4636293,2017-10-20T16:45:52.10125Z,852514
20171020_164553_1051,0,0,308280,4643121,2017-10-20T16:45:53.068879Z,852514
20171020_164753_0f2a,0,0,266424,4646403,2017-10-20T16:47:53.537372Z,851997
20171021_164509_0f4a,0,0.01,319116,4642128,2017-10-21T16:45:09.648331Z,854547
20171029_164326_104a,0,0,335649,4619301,2017-10-29T16:43:26.236955Z,873548
20171029_164608_1051,0,0,277293,4627662,2017-10-29T16:46:08.148472Z,873688
20171030_164339_1043,0.03,0.24,324273,4616949,2017-10-30T16:43:39.726296Z,875768
20181004_161208_1105,0,0.01,306861,4615704,2018-10-04T16:12:08.658287Z,1744530
20181008_161718_0f4e,0,0.1,333624,4611144,2018-10-08T16:17:18.170133Z,1753880
